surface,route,coverage,result,limits
public sitemap,https://www.zyenereviews.com/help/integrations,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/getting-started/creating-your-account,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/getting-started/connecting-google-business-profile,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/getting-started/sending-your-first-review-request,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/getting-started/understanding-your-dashboard,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/reviews/reading-your-review-inbox,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/reviews/using-ai-replies,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/reviews/setting-up-auto-commenter,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/reviews/exporting-reviews,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/campaigns/creating-a-review-request-campaign,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/campaigns/sms-vs-email-campaigns,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/campaigns/campaign-templates,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/campaigns/follow-up-messages,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/analytics/understanding-your-analytics-dashboard,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/analytics/reading-the-engagement-funnel,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/analytics/generating-pdf-reports,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/billing/plans-and-pricing,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/billing/upgrading-your-plan,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/billing/understanding-usage-limits,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/billing/canceling-your-subscription,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/integrations/connecting-google,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/integrations/setting-up-zapier,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/integrations/using-the-api,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/integrations/embedding-review-widgets,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/partners,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/demo,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/enterprise,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/agencies,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/es/industries,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/es/industries/restaurantes,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/es/industries/dental,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/es/industries/servicios-hogar,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/es/industries/salones,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/es/industries/reparacion-automotriz,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/es/industries/medicos,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/es/industries/hoteles,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/es/industries/gimnasios,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/tools,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/tools/review-link-generator,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/tools/reputation-score-checker,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/tools/review-response-generator,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/case-studies,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/case-studies/sunrise-dental-austin,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/case-studies/wolfpack-bbq-charlotte,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/case-studies/apex-hvac-denver,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/case-studies/bellas-salon-portland,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/case-studies/precision-auto-works-phoenix,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/quickstart,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/install,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/how-it-works,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/graph,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/content-types,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/sync,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/api,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/cookbook,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/plugins,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/docs/changelog,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/privacy,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/terms,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/data-retention,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/security,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
dashboard,/analytics,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/businesses/add,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/businesses,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/campaigns/[id],Source review,See report for findings,No existing campaign; source reviewed; sends not executed
dashboard,/campaigns/new,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/campaigns,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/competitors,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/customers/[customerId],Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/customers/import,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/customers,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/dashboard,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/google-seo-aeo/alerts,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/google-seo-aeo/audit,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/google-seo-aeo/geo-grid,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/google-seo-aeo,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/google-seo-aeo/phase-2,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/google-seo-aeo/phase-3,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/google-seo-aeo/prompts/[promptId],Source review,See report for findings,Source reviewed; live detail not exercised
dashboard,/google-seo-aeo/prompts,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/questions,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/requests,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/review-requests,Route inventory,See report for findings,Legacy route; source inventory only
dashboard,/reviews,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/settings/billing,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/settings/business-information,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/settings/competitor-alerts,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/settings/general,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/settings/integrations,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/settings/integrations/zapier,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/settings/notifications,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/settings,Route inventory,See report for findings,Settings entry route
dashboard,/settings/public-profile,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
dashboard,/settings/team,Authenticated browser inspection,See report for findings,Read-only/preview; production mutations not executed
auth/customer/utility,/login,Login entry inspected; user performed sign-in,See report,No consequential submission
auth/customer/utility,/signup,Entry/source review; no new account created,See report,No consequential submission
auth/customer/utility,/forgot-password,Source review; no reset email sent,See report,No consequential submission
auth/customer/utility,/reset-password,Source review; no credential changed,See report,No consequential submission
auth/customer/utility,/onboarding,Source review; no new paid onboarding completed,See report,No consequential submission
auth/customer/utility,/r/[slug],Live branded page and safe editor preview paths; no real feedback submitted,See report,No consequential submission
auth/customer/utility,/w/[slug],Live widget and loader; fabricated empty-text fallback confirmed,See report,No consequential submission
auth/customer/utility,/growth,"Source inventory; internal operations gate, not customer surface",See report,No consequential submission
auth/customer/utility,/newsletter/unsubscribe,Source review; subscription not changed,See report,No consequential submission
status,https://status.zyenereviews.com/,Browser inspection,Public status page loaded,Reported uptime not independently validated
authenticated deployed baseline,https://app.zyenereviews.com/dashboard,"Signed-in read-only browser inspection on September 12, 2026; Dashboard, Reviews, Requests, Campaigns, Customers, Analytics, Google SEO/AEO, Integrations, Billing, Notifications, and Team routes exercised","Desktop and 390 × 844 Dashboard/Reviews loaded without horizontal overflow; no save, send, publish, disconnect, import, role, payment, or production record action","Deployed baseline only; local working-tree fixes still require authenticated preview verification; provider delivery and payment scenarios need sandbox facilities"
